,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(conf_high),2.3658206684786887,0.0790880093740444,2.212423286416648,2.3117695885588336,2.3648734638665934,2.4187321455242814,2.525365352054217,0.000940277596316816
a(conf_low),2.47176248933163,0.07973698796641666,2.317707985544393,2.4179329977000084,2.471040710357066,2.5247056243306107,2.630437490321673,0.0010397843223247886
a_std,0.4946247519736204,0.04429639418394266,0.4160743505324997,0.4638777313771103,0.49199222706601603,0.5230883196153076,0.5889909895363058,0.0005855007693355983
a_subj(conf_high).0,2.593528293252505,0.10678443287415043,2.386251022156964,2.5214229707486746,2.592689363277343,2.66437151128767,2.803952075783888,0.0014691660232293558
a_subj(conf_high).1,1.604789900760607,0.06301413958947094,1.4839160065464427,1.5615717680867207,1.6034110829600672,1.6448597761044108,1.7331223677272214,0.0008482585768488113
a_subj(conf_high).2,2.618022775500229,0.11249586426730587,2.4041462043923967,2.5428110142945157,2.6157646596437947,2.691806486821993,2.8462010386913215,0.001690075233978923
a_subj(conf_high).3,2.9440569809199433,0.1085599685029019,2.7377044281581617,2.86947731048721,2.943357987098915,3.015278992125636,3.161777529470509,0.0015926907349645993
a_subj(conf_high).4,2.19897830740528,0.09041506821461041,2.0284724414759596,2.136821216487838,2.1975274369696716,2.2582635143617287,2.38114814964997,0.0013683936286822567
a_subj(conf_high).6,1.7065526196649468,0.0725448774754352,1.5704165212138674,1.6560856311534682,1.7056717802688648,1.7555216930370254,1.852551338272181,0.0010396959351199697
a_subj(conf_high).7,2.2645211120134783,0.0906378465441643,2.0949195573950288,2.2030541087926068,2.261909817462487,2.3236132179898132,2.4534634868274408,0.0012338351948872838
a_subj(conf_high).8,1.898446148267709,0.07395368984430337,1.7580976532293906,1.848266653849807,1.8958197423398557,1.949392701253255,2.0472161691350053,0.0011825152984528341
a_subj(conf_high).9,2.966486622285099,0.11408245992389668,2.7486492386936163,2.8881587389442154,2.965659643334055,3.0416733078593987,3.1971812327716718,0.0014617937216449494
a_subj(conf_high).10,2.870401162774786,0.10585712731200311,2.6696829810577887,2.797469136775109,2.8669225711534,2.941971422115338,3.0884934529443946,0.001290036573748842
a_subj(conf_high).11,2.8515021256349224,0.1130923246463077,2.634875901781888,2.7749845669642808,2.848686517653115,2.926555200498423,3.085500786566326,0.0016938240530468037
a_subj(conf_high).12,2.5931973292848647,0.10047649822964862,2.402073580017489,2.5241113101083994,2.589637910990307,2.659554164247231,2.7953348523692023,0.0014207887137307827
a_subj(conf_high).13,1.4171594709429114,0.057973599606110045,1.3064604156415438,1.3773250976978964,1.415497580829112,1.4556342779474576,1.5357633439182767,0.0008324629167872971
a_subj(conf_high).14,2.4878274828631852,0.10822364649632094,2.282392444197197,2.4147508003390348,2.485561759449474,2.5609759278195114,2.7038571867745014,0.001392013072034299
a_subj(conf_high).15,2.9637970869119554,0.11368555126739345,2.7498888311217753,2.8871973652262013,2.960716174545836,3.038202210954272,3.194666580651953,0.0016104874968131976
a_subj(conf_high).16,1.933138274219332,0.0800417370783045,1.7783873522303248,1.8785236908777279,1.9320244889464748,1.9877732215207757,2.088340372844578,0.0014339540321608025
a_subj(conf_high).17,2.867028453510119,0.11436701920892425,2.6521620187068673,2.7874328091495277,2.865295922507518,2.942778157674476,3.0964927562625015,0.0014413353807288657
