Contrast,Mean,SD,CI_lower,CI_upper,P(>0)
v:HC(high) - SSD(high),-0.12997175319607773,0.08067087771492376,-0.288867095487318,0.030076931469618876,0.053
v:HC(low) - SSD(low),-0.21351253964100067,0.07986912972415196,-0.3684884831134991,-0.05336866852309623,0.00425
a:HC(high) - SSD(high),-0.2558319656622166,0.1500053557100578,-0.5487316662681689,0.034070210142707794,0.042375
a:HC(low) - SSD(low),-0.2909097734661277,0.14933612113106842,-0.5864426753390346,0.0016328675682174166,0.025625
v: HC(high) - HC(low),0.043048490377576826,0.07878629672339756,-0.11079019879095647,0.19958377008456474,0.708375
a:SSD(high) - SSD(low),-0.13911316907755727,0.15469820330114964,-0.44400789112492056,0.16284140666201954,0.18475
