,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.4287479166112598,0.07760023222321841,2.2833512018586184,2.3769024020665706,2.426995185170289,2.479579874792554,2.590459824938376,0.0009199962291054197
a_std,0.48622886403908017,0.0593195641344455,0.38604116077704953,0.4434300878543097,0.48141584929132714,0.5222766662006352,0.6170027545189352,0.000792356457767391
a_subj.0,2.530598561271249,0.08492625048853275,2.3652417363875324,2.473770246804599,2.529661337689989,2.586292335070322,2.7017007758388027,0.0013479965713842127
a_subj.1,1.5509834523451573,0.04955053943388243,1.456675557676876,1.5165669893703977,1.5499931444589903,1.5831366185085483,1.6514429491367084,0.000818635610986519
a_subj.2,2.5492783689800675,0.09369441876637163,2.3787651856713006,2.4836400042750446,2.544367514065552,2.6101464361381974,2.744897186298553,0.0020637743907331923
a_subj.3,2.9990789159699496,0.0868179429151416,2.8344621535034733,2.9378692343634407,2.998170567714743,3.0550804085176013,3.178567285485693,0.0015847825632931925
a_subj.4,2.204886376136545,0.07316956162337356,2.0617988849481703,2.1552578484742977,2.204300950839601,2.2531675438815166,2.350773309181256,0.0013132265421628825
a_subj.5,2.697372689835032,0.0772764344109508,2.548551615984289,2.6447947994876873,2.6950442399005086,2.747294878414105,2.854616975407005,0.0011563718037526974
a_subj.6,2.02083419351786,0.06413448681607219,1.89882409265144,1.9762794377111255,2.019708186527014,2.0635140749707546,2.15015861084875,0.001081079495760869
a_subj.7,2.4210192177020016,0.07640813387561035,2.2748711017017484,2.369376121967938,2.4195319837257196,2.469849667665576,2.576855877358601,0.001111741238795128
a_subj.8,2.0821385795245915,0.05668105572043356,1.9731647334962343,2.043387782530555,2.082307477329367,2.1197579578941195,2.1931109250046394,0.0008731536849212155
a_subj.9,3.257809131557725,0.09627897229930803,3.0713566489080195,3.192425412872567,3.257739009263625,3.3227980784653406,3.445851439222464,0.0015251566443423817
a_subj.10,2.8195540047751977,0.07966727762154305,2.66937965611906,2.7646113872482214,2.818258658818809,2.8723219534823965,2.9809415731090745,0.0012024149993765617
a_subj.11,2.8823996304561943,0.08869832817959333,2.7128077497796634,2.8215709370675284,2.8810996850551898,2.9427533917841755,3.0598540513357677,0.0012970035534362325
a_subj.12,2.54306184514307,0.07512207068103054,2.399139117232297,2.4921575480702742,2.541837283937904,2.5917915218871874,2.695738162524348,0.0011661028599569826
a_subj.13,1.5787469008908648,0.04732991476532421,1.4880223701273885,1.5466651567776928,1.5784793648231106,1.6098920563950483,1.674530152170773,0.0007380374668290823
a_subj.14,2.7573183198090057,0.0923036358135535,2.58681575483575,2.6940173195502264,2.75465118517346,2.818441791443248,2.9456010256972904,0.0013489403388947424
a_subj.15,2.7852167043692124,0.07845361400639124,2.6358938255203768,2.7315529370834133,2.782947639083176,2.837981747030195,2.9433417790510785,0.0010668809415986338
a_subj.16,1.9350278485965167,0.06314949199699081,1.8121714509319942,1.8920396607495502,1.9348057288472549,1.978553701640746,2.060582869068952,0.0012203941281138347
a_subj.17,2.8737619889122015,0.09032828975671046,2.702508916877739,2.811978743892061,2.8736382161173846,2.9333289312135924,3.055305486320799,0.0013569898430423801
a_subj.18,1.9593338311561146,0.057174793375640305,1.8509282043141493,1.9200476393512287,1.9583249440774515,1.9968362420056196,2.0735214062435743,0.0009824557368428928
a_subj.19,2.7051747228354692,0.08462371516057732,2.54397122623772,2.64870789119222,2.702138253040408,2.760579292173256,2.876196215837683,0.0014785696273877228
a_subj.20,2.0592537137384026,0.06333389710515787,1.9390375863338565,2.0160741971118292,2.0583390021674357,2.101876002882011,2.1839082830056764,0.0009413314851680303
a_subj.21,3.1063465783128983,0.09606829983366942,2.920017202177889,3.0405094737973557,3.1044506542703747,3.1710284529601176,3.29686950141369,0.0013486559758224114
a_subj.22,2.498263372178726,0.07448692235669467,2.358309287148252,2.446637045183362,2.498053814145485,2.547175882909644,2.6462418842576487,0.0011984075973784907
a_subj.23,1.6665198417553715,0.04765776605646968,1.5783303774320991,1.6334032848110664,1.6661004711591114,1.6980540878871841,1.763231219565652,0.0006843513699055856
a_subj.24,1.913723578228095,0.0673342964839972,1.783049050983276,1.867677280909389,1.9141979723769245,1.9595418323942597,2.0460942431498794,0.0012329922451440303
a_subj.25,2.1974387422203128,0.07261607277948058,2.059544689148402,2.14787109800201,2.1955159798483566,2.2441738928268102,2.345841536292583,0.0013632950106465048
a_subj.26,2.3551230453083756,0.07117680514507332,2.2229652019838295,2.3055885665467653,2.354625156382806,2.402489984674423,2.5006178598912223,0.0010549050175311053
a_subj.27,2.4972367023413464,0.07212453939258907,2.3605237945331274,2.4475015642859237,2.4954064344630096,2.544395974887141,2.6461311946124626,0.001157088521609224
a_subj.28,3.033198552863191,0.10281952183286297,2.8439770968233566,2.9626085056227534,3.0298437416987833,3.099170638598289,3.2480883262983595,0.0019013739547220534
a_subj.29,2.417925401362846,0.068423046821258,2.2882006520195755,2.370623719499294,2.4171002114138087,2.4641307137942348,2.554850401986411,0.0010346982757839936
a_subj.30,1.8165962692256876,0.05563117323681252,1.7106507671140883,1.7789624061493652,1.8156887400273083,1.8530045007058715,1.9288849958983154,0.0008518289917474169
a_subj.31,2.660131831887521,0.07639312750271571,2.514243812661757,2.6088167932564748,2.659180628225666,2.71035172472572,2.8158548748398102,0.0011334720805451846
a_subj.32,2.7663411761794254,0.08000504248960376,2.6149058863917016,2.7123672877820724,2.7633753323754022,2.8199532977060615,2.9263539420135745,0.00116340605566654
a_subj.33,2.2063678397350768,0.06466420377334565,2.0823226640386765,2.1619124149855304,2.2057992629376275,2.2491086473722746,2.333784327990426,0.0008621083106792069
a_subj.34,2.984187638778005,0.08661858250035814,2.8189012867028653,2.925032374066299,2.98188186629812,3.040861283471326,3.1612634923534593,0.001400683166698781
a_subj.35,2.194828032231059,0.06691449594516709,2.06669909043592,2.1486427101322696,2.1943244856614674,2.2388104037154104,2.328662321219742,0.0010439411548644288
a_subj.36,3.0256558750181792,0.08960935850160492,2.8548367568428854,2.9655056820611554,3.023236991679566,3.0840558494196197,3.2084230508631157,0.001542244265872
a_subj.37,2.128927782303561,0.06716979971649305,2.0022866041561485,2.0824650396939592,2.1274885098987624,2.173798058990765,2.2650131117038117,0.0010212848066233585
a_subj.38,1.821693976588128,0.05638016968296573,1.7146928032632036,1.7835327795573772,1.8210377666459205,1.8584991958651873,1.9371342283430746,0.0008354561754011721
a_subj.39,2.72308540076173,0.08467889268231456,2.563256226088234,2.6646599540152778,2.7213467713000177,2.7777295368653485,2.8946747040893728,0.0013141138404571266
v(HC),0.008404580353711678,0.05150885294134508,-0.0930499697951813,-0.025502111875646813,0.007720883516756911,0.04198881778624304,0.11243376001463468,0.0006033978909425038
v(SSD),0.18835738834985988,0.05397997773503395,0.08331915373191828,0.15208665706913885,0.18806676959153715,0.2248629396890964,0.2943318935238386,0.000584825622096701
v_std,0.2265042896185323,0.02893363741921614,0.17799752311922148,0.20602649828314212,0.22366054455678142,0.24412150474405808,0.2899771971037666,0.0003706474846405512
v_subj(HC).1,0.45516531892980866,0.078578875828171,0.30267640734108936,0.40068048588405547,0.45435202091285887,0.5075963828216987,0.6106551245833982,0.0009315388115366987
v_subj(HC).2,-0.2895357543494514,0.050974429280977444,-0.3901886682643223,-0.3230994024982984,-0.28939603856634466,-0.2559690736450587,-0.18944387509885674,0.0005639865634735391
v_subj(HC).4,-0.5563682455803804,0.0617842290980511,-0.6774821478728572,-0.5968454826431902,-0.5561250460649472,-0.5153381794409003,-0.4358267138946948,0.0006780660677040811
v_subj(HC).5,-0.1657049476082109,0.04617765893589624,-0.25488372651831115,-0.19613093014109803,-0.1658666977984956,-0.1347499575841823,-0.07635036392311256,0.0004788615621027025
v_subj(HC).8,0.06047837686478556,0.055710014595247055,-0.048717628551361136,0.023573345354984447,0.060426518941455926,0.09749520606780035,0.17182810613702498,0.0006447588883415469
v_subj(HC).9,0.09225847430190766,0.038333018571393,0.017969979921497847,0.06596725244066026,0.09229324423714791,0.11874401438154505,0.16805771793066387,0.0003733590467709516
v_subj(HC).12,-0.012451647136211438,0.04815887050971298,-0.10807706082517232,-0.04490665482698153,-0.012521427933437038,0.019829584022768645,0.08301286513447241,0.000575494873303212
v_subj(HC).16,-0.26094234849341563,0.062350708057970224,-0.3836461272264081,-0.30208377614874776,-0.2600149199324082,-0.21969054578608369,-0.1402634710999917,0.0006271245869879565
v_subj(HC).18,0.07578492494201498,0.05868415997438234,-0.03977413311626077,0.03583409695887538,0.07589818466502385,0.11610231325994969,0.18970998310720233,0.0007056055200251522
v_subj(HC).19,0.399449113516515,0.04980655948324794,0.30266020763751933,0.36617073616599105,0.3991103951508448,0.43212762538788657,0.49826319546731257,0.00060587440751132
v_subj(HC).23,-0.1218435551891666,0.06894570876252955,-0.2580680060073839,-0.16840104255083221,-0.12063240811601328,-0.0752144113236285,0.013342991807286264,0.0008112436873930464
v_subj(HC).25,0.40786711494169875,0.05795142691106264,0.2941258019011929,0.3688756114097339,0.4080320587499475,0.44754619177282257,0.5212228956039291,0.0007302097613144212
v_subj(HC).26,-0.06930341979059318,0.052565040152019564,-0.17293245424578985,-0.10462764799159566,-0.06920345053746367,-0.033445531801674866,0.03397125397463885,0.0005558684996786716
v_subj(HC).29,0.09015975479798637,0.04995031874076133,-0.007445563469704153,0.055960527766923784,0.08958652146280208,0.12428479592018488,0.1874499066977624,0.0006122144727651498
v_subj(HC).30,-0.01636655673625783,0.0641818574054684,-0.1394470999426368,-0.06015698375624476,-0.01680418392657612,0.02673920223746773,0.10985466661318444,0.0007288107606479934
v_subj(HC).31,0.04716747236412032,0.04563526436217797,-0.04215689464802819,0.016230209958363995,0.047577372647673144,0.0775353283710158,0.135624693377009,0.0005036260527935143
v_subj(HC).32,0.056746065638192934,0.04375377368830931,-0.028297022243911313,0.02736825111205396,0.05719178092197029,0.08636423985959144,0.14382013987552994,0.00045747125429572227
v_subj(HC).35,-0.22768243564516344,0.05652119325735772,-0.33790278442068333,-0.26629197640139335,-0.2274959406253405,-0.18869178082200314,-0.11575403466898448,0.0006185956202347114
v_subj(HC).36,0.08124808946299703,0.040953308187708454,0.0009982199662645665,0.053426775749780636,0.08207849430003994,0.10904120934047423,0.1614663608960985,0.0004919931886789217
v_subj(HC).37,0.06159095314296376,0.055690645671770275,-0.04570401179782829,0.02371008325276336,0.06165840279305035,0.09927444316773104,0.17091221157085046,0.0007844649306199749
v_subj(HC).38,0.08167865414002125,0.06448395834874382,-0.04303858595588672,0.03775350068246193,0.07996887596439806,0.1255975174843561,0.2079544005002994,0.0007209731916489715
v_subj(SSD).0,0.3148882624549183,0.05159871550052187,0.21341189634540197,0.2803110687008067,0.31533531618937094,0.34880613228142265,0.41695199306646247,0.0005932391324707161
v_subj(SSD).3,-0.052363099025655634,0.040778662580134566,-0.13065042604847693,-0.08009727609994852,-0.05283346264291855,-0.024856139357958926,0.02818356301747671,0.00046047258705128575
v_subj(SSD).6,0.5028186823834656,0.06406188956950316,0.37920477465795127,0.45908174239179345,0.5026463237966361,0.5460444971333789,0.6280380013714018,0.0007374103152533813
v_subj(SSD).7,0.11850157321705242,0.05090977852827496,0.017886755661073957,0.08543380481354135,0.11789030196000161,0.1517788648630808,0.21880001880451988,0.0005906781491641319
v_subj(SSD).10,0.1357494490068546,0.043660035925794066,0.05017327171868213,0.10633036165505988,0.13608634464589842,0.16560864628327687,0.21969566304257815,0.0005600430789864578
v_subj(SSD).11,0.2954974743517962,0.044692500654867996,0.21009102053889583,0.26519101146278623,0.29587350971453547,0.3252246470778919,0.3848188582677446,0.0005135197680831286
v_subj(SSD).13,0.4513652917076001,0.07780205010943583,0.2974381278405045,0.3986251850616306,0.4517398274987432,0.5031268360222947,0.6029649931391146,0.0008798933176311742
v_subj(SSD).14,-0.15624040734231295,0.05097899485007437,-0.25569292868094173,-0.1912873444042451,-0.15545675053975389,-0.12109161490790715,-0.05769223192880524,0.0005699423959733
v_subj(SSD).15,0.10636536231980102,0.04369152543369203,0.020948623529185945,0.07725071180169509,0.1061185659172988,0.13561096750750745,0.19232561800963238,0.00041971891455259226
v_subj(SSD).17,0.3332851428786859,0.04589892010165954,0.24286928963780358,0.30226631720241726,0.33339829809358945,0.3640633909856017,0.42424053917430365,0.0005841881126380825
v_subj(SSD).20,0.05725942944083707,0.05729358052656008,-0.05322074789703239,0.018650708803783528,0.057182895312034354,0.09562311159139814,0.16907526105845583,0.0006910863814700109
v_subj(SSD).21,0.06650280882981027,0.040254869859245916,-0.011536698913196475,0.03954031070990949,0.06638430129623209,0.09371617339188859,0.14470504608035994,0.000462162541608516
v_subj(SSD).22,0.29689139037480916,0.05033747683860317,0.1960676144815934,0.263372493195344,0.2972273369554418,0.33128346009209464,0.39416842931727647,0.0005873330591520495
v_subj(SSD).24,0.13732937162652112,0.06377377122431609,0.012245195952924032,0.09466489529120264,0.13618555945578373,0.18009104255364664,0.2631233274383442,0.0006850569006933713
v_subj(SSD).27,0.1430851003092026,0.04740102021569334,0.05119684969863153,0.11129065276614633,0.14266625585364157,0.17506603063260429,0.2370264202448177,0.0005794419482038876
v_subj(SSD).28,0.46729028760998104,0.04707939867598584,0.3751548958678743,0.4355203443995697,0.4679280670468507,0.4987711625443345,0.56083025594708,0.0005854373423148479
v_subj(SSD).33,0.11390766690549194,0.05452274804400777,0.010744413963601832,0.07737264089573506,0.11321865067083021,0.15039422717451023,0.22298643485941527,0.0005999511703662903
v_subj(SSD).34,-0.009095660225323748,0.04100038246853088,-0.08961799296755135,-0.03687816098924495,-0.00884812239317645,0.01841254563511957,0.07129056660711047,0.0004681635245604956
v_subj(SSD).39,0.2274378501126011,0.046822454482440906,0.13488808070181357,0.19592728375374902,0.22765926032842682,0.25857479614922063,0.32138971342167544,0.0005821686017965568
t,1.3553589967524275,0.07424799842444821,1.212371022569045,1.3060181695917408,1.3543316790981343,1.4035353685125096,1.5061289297428893,0.001043697971405445
t_std,0.48686560974021487,0.05904196346135491,0.3863543860792401,0.44528965293135525,0.48181816551769396,0.5228571524428871,0.6180444342530108,0.000806206190925543
t_subj.0,1.4404698305306973,0.040982349065705415,1.364279633189818,1.4143454021448465,1.4376397841874657,1.464390947352019,1.532385719489934,0.0007096456824469525
t_subj.1,1.0680860705628297,0.012740624770220215,1.0435502088216724,1.0591544021460613,1.0681982386188038,1.0771341853513527,1.0923529787542838,0.0002016618730345669
t_subj.2,1.668528128753886,0.07567049019658588,1.510389796040468,1.6321926521369627,1.6902176484434708,1.7150717135726952,1.8006531309050655,0.001936520983458623
t_subj.3,0.8063723792750793,0.03761935006933544,0.7257496532662189,0.7832072200337546,0.8083485762376056,0.8325390177382503,0.8745610380308297,0.000702860219690702
t_subj.4,1.3325415104595717,0.020784428579459054,1.2887895755185172,1.319139231652314,1.3335669338364917,1.3467781435694661,1.3714814031097369,0.00038730033159609247
